rankx   flowid   timex
9269979   2   15268900
9268599   2   15280900
9267219   2   15292900
9265839   2   15304900
9264459   2   15316900
99450759   0   15328900
99449379   0   15340900
99447999   0   15352900
9263079   2   15364900
99446619   0   15376900
99445239   0   15388900
9261699   2   15400900
99443859   0   15412900
9260319   2   15424900
99442479   0   15436900
9258939   2   15448900
99441099   0   15460900
9257559   2   15472900
99439719   0   15484900
9256179   2   15496900
99438339   0   15508900
9254799   2   15520900
99436959   0   15532900
99435579   0   15544900
9253419   2   15556900
9252039   2   15568900
9250659   2   15580900
9249279   2   15592900
9247899   2   15604900
9246519   2   15616900
9245139   2   15628900
9243759   2   15640900
9242379   2   15652900
9240999   2   15664900
9239619   2   15676900
9238239   2   15688900
9236859   2   15700900
9235479   2   15712900
9234099   2   15724900
49526659   1   15736900
49525279   1   15748900
49523899   1   15760900
9232719   2   15772900
9231339   2   15784900
9229959   2   15796900
49522519   1   15808900
99434199   0   15820900
49521139   1   15832900
99432819   0   15844900
49519759   1   15856900
9228579   2   15868900
9227199   2   15880900
9225819   2   15892900
49518379   1   15904900
99431439   0   15916900
49516999   1   15928900
9224439   2   15940900
49515619   1   15952900
99430059   0   15964900
49514239   1   15976900
49512859   1   15988900
49511479   1   16000900
9223059   2   16012900
49510099   1   16024900
49508719   1   16036900
49507339   1   16048900
99428679   0   16060900
49505959   1   16072900
49504579   1   16084900
9221679   2   16096900
49503199   1   16108900
99427299   0   16120900
49501819   1   16132900
9220299   2   16144900
49500439   1   16156900
99425919   0   16168900
49499059   1   16180900
9218919   2   16192900
49497679   1   16204900
99424539   0   16216900
49496299   1   16228900
9217539   2   16240900
99423159   0   16252900
9216159   2   16264900
99421779   0   16276900
99420399   0   16288900
99419019   0   16300900
9214779   2   16312900
9213399   2   16324900
9212019   2   16336900
9210639   2   16348900
9209259   2   16360900
9207879   2   16372900
9206499   2   16384900
9205119   2   16396900
9203739   2   16408900
99417639   0   16420900
99416259   0   16432900
99414879   0   16444900
9202359   2   16456900
99413499   0   16468900
99412119   0   16480900
99410739   0   16492900
9200979   2   16504900
99409359   0   16516900
9199599   2   16528900
99407979   0   16540900
9198219   2   16552900
99406599   0   16564900
9196839   2   16576900
99405219   0   16588900
9195459   2   16600900
99403839   0   16612900
9194079   2   16624900
99402459   0   16636900
99401079   0   16648900
9192699   2   16660900
9191319   2   16672900
9189939   2   16684900
9188559   2   16696900
9187179   2   16708900
9185799   2   16720900
9184419   2   16732900
9183039   2   16744900
